,코드,날짜,시간,언론사,기사제목,링크,기사 내용
0,005930,2020.06.18,8,이데일리,"삼성전자, 2분기 영업이익 시장 전망 넘어설 것-DB",https://finance.naver.com/item/news_read.nhn?article_id=0004667019&office_id=018&code=005930&page=4&sm=," [이데일리 박종오 기자] DB금융투자는 삼성전자(005930)의 올해 2분기(4~6월) 영업이익이 시장 전망치를 웃돌 것으로 예상했다. 반도체 가격 상승 영향이다.이에 따라 이 회사 주식의 투자 의견을 ‘매수’, 목표 주가를 7만원으로 유지했다. 삼성전자의 현재 주가는 1주당 5만2200원(17일 종가 기준)이다. 어규진 DB금융투자 연구원은 18일 펴낸 보고서에서 “삼성전자의 올 2분기 영업이익은 시장 기대치를 상회할 전망”이라고 밝혔다. 삼성전자의 2분기 매출액은 지난해 2분기보다 5.7% 감소한 52조2000억원, 영업이익은 2.2% 줄어든 6조3000억원을 기록할 것으로 내다봤다. 증권사의 영업이익 전망치는 6조원이다. 어 연구원은 “데이터센터 메모리 수요 강세로 D램과 낸드플래시 가격이 각각 10.3%, 4% 상승하며 반도체 사업부 영업이익이 5조1000억원으로 개선될 것”이라며 “우려했던 TV와 스마트폰 예상 판매량도 각각 900만대, 5480만대로 온라인 중심 판매 호조, 오프라인 매장의 마케팅 비용 축소로 인해 수익성이 기존 예상치를 넘어설 것”이라고 분석했다. 올해 하반기(7~12월)에도 회복세를 이어갈 것으로 봤다. 어 연구원은 “최근 글로벌 경제 재개에 따른 하반기 정보·기술(IT) 수요 회복이 기대되는 상황”이라면서 “상반기(1~6월) 부진했던 반도체 사업부는 데이터센터 메모리 주문 감소 우려에도 모바일 제품 증가로 출하 증가에 따른 실적 호조가 기대된다”고 했다. 또 “여기에 더해 세트 사업부의 판매 호조로 반도체 사업부 실적이 올 2분기를 바닥으로 완연한 회복세에 진입할 전망”이라며 “삼성전자의 올해 연간 영업이익은 작년보다 20.1% 늘어난 33조3000억원을 기록하며 전년 대비 충분히 개선될 전망”이라고 덧붙였다. 신종 코로나 바이러스 감염증(코로나19)으로 인한 언택트(비대면) 확산에 힘입어 반도체 중심의 실적 호조세가 계속 이어질 것이라는 의미다.  삼성전자 경영 실적 및 전망 (자료=DB금융투자)박종오 (pjo22@edaily.co.kr)네이버에서 ‘이데일리’ 구독하기"
1,005930,2020.06.18,8,매일경제,"[Hot-Line] ""삼성전자, 하반기 IT수요 회복 기대""",https://finance.naver.com/item/news_read.nhn?article_id=0004597649&office_id=009&code=005930&page=4&sm=," DB금융투자는 18일 삼성전자에 대해 하반기 IT수요회복이 기대된다고 밝혔다. 투자의견은 매수, 목표주가는 7만원을 유지했다.어규진 DB금융투자 연구원은 ""삼성전자의 올해 2분기 실적은 매출액 52조2000억원, 영업이익 6조3000억원으로 전년 동기 대비 7%, 4.4% 줄 것으로 보이나 시장기대치(영업이익 6조원)는 웃돌 전망""이라며 ""데이터센터향 메모리 수요 강세로 디램과 낸드 가격이 상승하면서 반도체 사업부의 실적이 개선되고, TV와 스마트폰 판매가 기존 예상치를 웃돌 것으로 판단되기 때문""이라고 설명했다.삼성전자는 최근 글로벌 경제 재개로 하반기 IT수요 회복이 기대되는 상황이다. 이로 인해 상반기 부진했던 스마트폰, TV, OLED패널 등의 실적 반등이 예상된다.어 연구원은 ""하반기 반도체 사업부는 데이터센터향 메모리 주문 감소 우려감에도 모바일향 제품 증가로 실적 호조가 기대된다""며 ""실적이 2분기를 바닥으로 완연한 회복세에 진입할 전망""이라고 말했다.[김현정 기자 hjk@mkinternet.com]"
2,005930,2020.06.18,8,파이낸셜뉴스,"""삼성전자, 하반기 완연한 회복세 전망""-DB금융투자",https://finance.naver.com/item/news_read.nhn?article_id=0004445485&office_id=014&code=005930&page=4&sm=,"   [파이낸셜뉴스] DB금융투자는 18일 삼성전자에 대해 올 하반기 글로벌 경제 재개로 IT 수요가 늘어 주력제품 실적 반등이 예상된다며 투자의견 매수와 목표주가 7만원을 유지했다.   DB금융투자가 추정한 삼성전자의 올 2·4분기 매출은 지난해 같은 기간보다 7% 줄어든 52조2000억원, 영업이익은 4.4% 감소한 6조3000억원이다.   어규진 연구원은 ""영업이익이 시장 기대치인 6조원을 웃돌 전망""이라며 ""데이터센터향 메모리 수요 강세로 D램 및 낸드가격이 각각 10.3%, 4.0% 올라 반도체 사업부의 실적이 개선되는 가운데, 우려했던 TV(900만대) 및 스마트폰(5480만대) 판매가 온라인 중심의 판매 호조와 오프라인 매장의 마케팅 비용 축소로 수익성이 기존 예상치를 상회할 것""이라고 예상했다.   글로벌 경제 재개로 하반기 IT수요 회복이 기대되는 점은 호재다. ""어 연구원은 ""상반기 부진했던 삼성전자의 글로벌 1등 제품들(스마트폰, TV, OLED패널 등)의 실적 반등이 기대된다""며 ""하반기 반도체 사업부는 데이터센터향 메모리 주문 감소 우려감에도 모바일향 제품 증가로 출하 증가에 따른 실적 호조가 기대된다""고 말했다.    map@fnnews.com 김정호 기자   "
3,005930,2020.06.18,8,머니투데이,"삼성전자, 2Q실적 시장기대치 상회전망 -DB금융투자",https://finance.naver.com/item/news_read.nhn?article_id=0004426773&office_id=008&code=005930&page=4&sm=," [머니투데이 임동욱 기자] DB금융투자는 18일 삼성전자에 대해 2분기 실적이 시장기대치를 상회할 전망이라며 투자의견 매수 및 목표주가 7만원을 유지했다. 어규진 DB금융투자 연구원은 ""삼성전자의 2분기 실적은 매출액 52조2000억원, 영업이익 6조3000억원으로 시장기대치를 상회할 전망""이라고 분석했다. 어 연구원은 ""데이터센터향 메모리 수요 강세로 D램 및 낸드 가격이 각각 10.3%, 4.0% 상승하며 반도체 사업부의 실적이 개선되는 가운데, 우려했던 TV 및 스마트폰 판매가 온라인 중심의 판매 호조와 오프라인 매장의 마케팅 비용 축소로 수익성이 기존 예상치를 상회할 것으로 판단된다""고 밝혔다. 어 연구원은 ""하반기 반도체 사업부는 모바일향 제품 증가로 출하 증가에 따른 실적 호조가 기대되는 상황에서 세트 사업부의 판매 호조로 실적이 2분기를 바닥으로 완연한 회복세에 진입할 전망""이라며 ""연간 영업이익은 33조3000억원으로 전년 대비 충분히 개선될 전망""이라고 진단했다. 임동욱 기자 dwlim@mt.co.kr"
4,005930,2020.06.18,8,매일경제,"[Hot-Line] ""RFHIC, 하반기 삼성전자 회복 시 가장 큰 수...",https://finance.naver.com/item/news_read.nhn?article_id=0004597644&office_id=009&code=005930&page=4&sm=," 하나금융투자는 18일 RFHIC에 대해 삼정전자가 하반기 회복시 가장 큰 수혜주 부상할 예정이라며 투자의견 매수, 목표주가 5만원을 유지했다.김홍식 하나금융투자 연구원은 ""올 2분기 RFHIC 영업 적자가 예상된다""며 ""화웨이향 매출액이 극히 부진한 데다가 삼성전자 매출이 8~9월에나 본격화될 것으로 예상돼 전체 매출액이 200억원에도 못 미칠 것""이라고 내다봤다.상반기 실적 부진으로 올해 순이익 증가가 불투명한 상황이지만 하반기 이익 성장이 나타날 전망이다. 중국 내 하웨이 매출이 불투명해진 반면 일본·미국·인도 시장에서 삼성전자와 노키아 수혜가 예상되기 때문이다.김 연구원은 ""RFHIC 주주들이 우려하는 중국의 장비 국산화 이슈는 당초 예상대로 부정적 영향을 미치고 있고 당분간 쉽게 해결될 가능성도 낮다""면서도 ""다만 신흥 시장 수요에 힘입어 하반기에 삼성전자가 상반기 부진을 딛고 하반기에 이익개선이 나타난다면 가장 큰 수혜를 받을 종목""이라고 강조했다.삼성전자가 고주파수에서의 강점을 바탕으로 미국·일본·인도 시장에서 시장 확대에 나설 가능성이 높고 가장 중요시할 협력업체 중 하나가 RFHIC이기 때문이다.김 연구원은 "" 이재용 삼성전자 부회장의 목표인 네트워크장비 M/S 20% 달성을 위해 하반기에 성과를 기대한다면 지금이 적극 매수의 적기""라고 덧붙였다.[김규리 기자 wizkim61@mkinternet.com]"
5,005930,2020.06.18,8,머니투데이,"RFHIC, 삼성전자 힘입어 2H 이익 급성장 전망-하나금투",https://finance.naver.com/item/news_read.nhn?article_id=0004426787&office_id=008&code=005930&page=4&sm=," [머니투데이 강민수 기자] 하나금융투자는 18일 RFHIC가 하반기 이익이 급성장할 것이라고 전망했다. 투자의견은 매수, 목표주가는 5만원을 유지했다. 17일 종가는 3만5050원이다. 김홍식 하나금융투자 연구원은 ""상반기 실적 부진으로 올해 순이익 증가가 불투명한 상황이지만 올해 하반기나 내년 상반기 실적으로 보면 가파른 이익 성장이 예상된다""며 ""하반기 미국·인도·일본 시장 성장 및 삼성전자 시장점유율(M/S) 상승 시 최대 수혜주로 부상하는 데다, 화웨이에 대한 우려가 충분히 주가에 반영된 상태이기 때문""이라고 설명했다. 김 연구원은 ""화웨이향 매출이 극히 부진한 데다 삼성전자향 매출이 오는 8~9월에나 본격화될 전망이라 2분기에 영업 적자가 예상된다""면서도 ""삼성·노키아를 통한 미국·인도·일본 수출이 3분기부터 점진적 증가세를 나타낼 것으로 보여 하반기엔 재차 가파른 이익 성장이 기대된다""고 내다봤다. 이어 ""하반기에 삼성전자가 상반기 부진을 딛고 괄목할만한 성과를 보인다면 가장 큰 수혜를 받을 종목""이라며 ""삼성전자가 고주파수에서의 강점을 바탕으로 시장 확대에 나설 가능성이 높고 가장 중요시할 협력업체 중 하나가 RFHIC""라고 강조했다. 강민수 기자 fullwater7@mt.co.kr"
6,005930,2020.06.18,8,파이낸셜뉴스,"""삼성전자, 2분기 실적 우려와 달리 양호 전망""-KB증권",https://finance.naver.com/item/news_read.nhn?article_id=0004445471&office_id=014&code=005930&page=4&sm=,"   [파이낸셜뉴스] KB증권은 삼성전자에 대해 ""올해 2·4분기 실적이 우려와 달리 양호할 것으로 예상된다""면서 낮아진 시장 기대치를 상회하는 실적을 보일 것이라고 18일 전망했다.   김동원 연구원은 ""삼성전자의 올해 2·4분기 영업이익은 작년 동기보다 8.7% 낮아진 6조200억원으로 추정하고 있다""면서 ""이는 컨센서스 영업이익(6조3000억원)을 소폭 하회할 것으로 예상하고 있지만 최근 낮아진 시장 기대치(5조7000억원)는 상회할 것""이라고 말했다.   이어 ""2·4분기 말 현재 삼성전자의 TV, 스마트폰 판매가 예상을 큰 폭 상회하고 있어 실적은 컨센서스를 상회할 가능성도 열려 있다""고 설명했다. 특히 6월부터 디스플레이 사업부 가동률도 빠르게 회복되고 있어 디스플레이 부문 실적도 개선될 가능성이 크다고 내다봤다.   그러면서 김 연구원은 ""삼성전자의 올해 하반기 평균 영업이익은 9조1000억원으로 예상된다""면서 ""상반기 분기 평균 영업이익(6조3000억원) 대비 45% 급증할 것으로 추정된다""고 말했다. 이어 ""이에따라 삼성전자는 올 상반기에 실적 바닥 확인이 예상돼 하반기에는 우상향의 주가 흐름이 기대된다""고 덧붙였다.    khj91@fnnews.com 김현정 기자   "
7,005930,2020.06.18,8,이데일리,"삼성전자, 하반기 영업익 상반기보다 45% 증가-KB",https://finance.naver.com/item/news_read.nhn?article_id=0004666992&office_id=018&code=005930&page=4&sm=," [이데일리 전재욱 기자] KB증권은 삼성전자(005930) 하반기 분기 평균 영업이익이 9조1000억원을 기록해 상반기 분기 평균 6조3000억원 보다 45% 급증할 것이라고 18일 추정했다.김동원 KB증권 연구원은 보고서에서 “삼성전자는 올 상반기에 실적 바닥 확인이 예상되어 하반기에는 우상향의 주가 흐름이 기대된다”며 이같이 전망했다. 영업익은 3분기 8조8000억원, 4분기 9조3000억원을 예상했다.김 연구원은 “세트 사업 (TV, 스마트 폰) 판매 호조는 계절적 성수기에 진입하는 3분기부터 가속화가 예상되고, 코로나19로 촉발된 비대면 경제 활성화는 하반기 서버 D램과 엔터프라이즈 SSD의 양호한 수요를 견인할 것”이라고 했다.김 연구원은 “삼성전자 2분기 영업이익을 6조200억원(전년 대비 -8.7%, 1분기 대비 -6.6%)으로 추정하고 있어 컨센서스 영업이익(6조3000억원)을 소폭 하회할 것”이라면서도 “최근 낮아진 시장 기대치(5조7000억원)는 상회할 것”이라고 했다.그는 “2분기 말 현재 TV(CE), 스마트폰(IM) 판매가 예상을 큰 폭 상회하고 있어 삼성전자 2분기 실적은 컨센서스를 상회할 가능성도 열려 있다”며 “6월부터 디스플레이(DP) 사업부 가동률도 빠르게 회복되고 있어 2분기 DP 부문 실적도 개선될 가능성이 클 전망”이라고 했다. 이어 “현재 삼성전자 2분기 부문별 추정 영업이익은 반도체 5조2000억원, IM(스마트 폰) 1조4000억원, DP(디스플레이) -8000억원, CE(가전) 4000억원, 하만 -2000억원”이라고 제시했다.김 연구원은 “2분기 현재 삼성전자 TV, 스마트 폰 등의 세트 판매는 예상을 상회하는 호조세를 나타내고 있다”며 “2분기 초에는 유통채널 영업중단과 봉쇄조치 등으로 스마트 폰, TV 판매가 예상을 하회했으나, 6월부터 유통채널 영업재개와 보복성 소비가 맞물리며 TV, 스마트 폰 판매가 큰 폭의 증가세를 시현하고 있는 것으로 판단된다”고 했다. 이어 “특히 2분기 말 현재 세트사업 호조는 부품사업 출하증가의 시너지 효과가 동시에 발생해 하반기에는 세트와 부품 실적이 동시에 개선될 가능성이 클 전망”이라고 덧붙였다.전재욱 (imfew@edaily.co.kr)네이버에서 ‘이데일리’ 구독하기"
8,005930,2020.06.18,6,서울경제,"'전세계 스마트폰 반짝 1위' 화웨이, 美제재에 감산...삼성 '반사이...",https://finance.naver.com/item/news_read.nhn?article_id=0003755175&office_id=011&code=005930&page=4&sm=,"부품거래처에 조달계획 변경 통지""10%만큼 주문 규모 줄이겠다고 전해와""올해 1억대 5G 스마트폰 생산계획 차질4월 글로벌 1위 등극했지만 내려갈듯中정부 ""화웨이 못잃어""...캐나다에 무역보복/AFP연합뉴스[서울경제] 중국의 최대 통신기기업체 화웨이가 올해 스마트폰 감산에 나선다. 미국 정부가 지난달 화웨이를 겨냥해 제재를 강화하면서 스마트폰에 들어갈 반도체를 공급 받는 데 차질이 빚어졌기 때문이다. 올해 4월 삼성전자(005930)를 제치고 세계 1위 스마트폰 판매 브랜드로 올라선 화웨이가 반도체 제재의 직격탄을 맞으면서 국내 스마트폰 업체가 반사이익을 누릴 것으로 보인다.━ 해외 거래처에 생산량 감축 통보  17일 일본 니혼게이자이신문에 따르면 화웨이는 복수의 거래처에 조달계획을 변경한다고 전달했다. 한 전자 업체는 올해 1월에만 해도 화웨이로부터 스마트폰 2억4,000만대분에 해당하는 부품을 주문받았지만 이달 초에 10%만큼 주문 규모를 줄이겠다고 통지를 받았다. 조달 계획을 반기 중에 변경하는 것은 이례적이라고 닛케이는 전했다.다른 반도체업체의 한 간부도 지난달 중순 미국 정부의 화웨이 제재 발표가 나온 직후 화웨이로부터 올 3·4분기 부품 구매가 계획에 비해 20% 줄어들 것이라는 통보를 받았다. 당초 화웨이는 연말 발매 예정인 플래그십 스마트폰을 이달부터 양산할 것이란 전망이 나왔다. 하지만 복수의 해외 부품 업체들은 일단 별도의 통보가 있을 때까지 생산을 그만두라는 요청을 받았다고 닛케이는 전했다. 닛케이는 “미국의 제재로 화웨이가 반도체 조달처를 바꿔야 하는 처지에 놓이면서 스마트폰 설계 역시 재검토해야 하는 상황”이라고 분석했다.화웨이의 스마트폰 P30 프로 기종./위키피디아 캡처화웨이의 스마트폰 P30 프로 기종./위키피디아 캡처화웨이는 자사가 설계한 첨단 반도체의 대부분을 대만 파운드리 업체인 TSMC에 위탁 생산하고 있다. 하지만 미국 제재로 인해 미국산 장비를 이용해 만든 반도체의 화웨이 수출은 오는 9월부터 금지되기 때문에 화웨이는 TSMC로부터 반도체 조달을 받지 못하게 된다. 이미 TSMC는 미 제재 이후 화웨이로부터의 신규 수주를 중단한 상태다.이에 따라 화웨이가 향후 대체 조달처를 확보하지 못하면 5세대(5G) 스마트폰 등 고급 기종을 중심으로 생산하는 데 차질을 빚을 전망이다. 현재 스마트폰 시장은 신종 코로나바이러스 감염증(코로나19)의 영향으로 정체된 상태지만 5G 스마트폰 수요는 더욱 높아지고 있다. 부품 업체들은 올해 화웨이가 5G 스마트폰을 약 1억대 생산할 계획이었다고 전했다. 미 제재에 직면한 화웨이는 대만의 반도체 개발설계 업체 롄파과기(聯發科技) 등을 통해 반도체를 조달하겠다는 방침이지만 아직 부품 확보가 불안한 상황이다. 미즈호 증권의 나카네 야스오 시니어 애널리스트는 화웨이의 올해 스마트폰 출하 대수 전망치를 기존 2억대에서 10% 인하했으며 내년 이후 기술 로드맵이 1년 정도 정체할 가능성이 있다고 지적했다.━ 세계 1위 올라선 시점에 제재 타격 더욱 커  화웨이가 중국 내 ‘애국 소비’를 등에 업고 최근 세계 최대 스마트폰 판매 업체로 등극한 만큼 미 제재에 따른 감산 결정은 뼈 아플 수 밖에 없다는 지적이 나온다. 관영 환구시보 등 중국 매체들은 지난 16일 화웨이의 4월 스마트폰 판매량이 삼성전자보다 많았다는 시장 조사업체 카운터포인트 보고서 내용을 대대적으로 보도했다.보고서에 따르면 4월 세계 스마트폰 판매량이 전년 동월보다 41% 감소한 6,937만대를 기록한 가운데 화웨이와 삼성전자의 시장 점유율은 각각 21.4%, 19.1%를 기록했다. 그간 스마트폰 세계 1위를 공언하던 화웨이가 월간 판매량에서 삼성전자를 제친 것은 이번이 처음이다. 다만 올해 1·4분기 전체로는 삼성전자의 판매량이 5,533만대(18.5%)로 화웨이 판매량 4,250만대(14.2%)를 앞섰다./AP연합뉴스/AP연합뉴스월간 기준에서 화웨이가 1위를 차지한 것은 삼성전자의 주요 해외 시장 판매가 부진한 영향도 한몫했다. 카운터포인트는 “중국 스마트폰 시장은 이미 회복이 시작됐지만 삼성의 갤럭시20 판매는 부진했는데 이는 부분적으로 인도의 코로나19 봉쇄 등의 영향을 받았다”고 분석했다.중국 정부 산하 중국정보통신연구원에 따르면 4월 중국 휴대전화 판매량은 4,173만대로 전년 동기 대비 14.2% 증가했다. 올해 들어 중국에서 월간 휴대전화 판매가 늘어난 것은 처음이었다. 지난해 5월부터 시작된 미국의 제재로 화웨이는 해외 시장에서 고전하고 있지만 이에 반발한 중국인들의 ‘애국 소비’ 성향이 짙어지면서 화웨이의 자국 시장 입지는 더욱 강해졌다. 이에 따라 화웨이의 올해 1·4분기 중국 스마트폰 시장 점유율은 39%로 전년 동기의 29%보다 10%포인트나 높아졌다.━ 中정부, 고립무원 화웨이 방패막이...무역보복 카드도 서슴지 않아  중국 정부는 국제 사회에서 화웨이가 고립되자 무역보복 카드를 꺼내며 반격에 나서는 모습이다. 특히 멍완저우 화웨이 부회장의 재판 문제로 캐나다와 갈등의 골이 깊어진 중국은 ‘캐나다산 수입 금지’라는 칼을 다시 꺼내 들었다.로이터통신에 따르면 자오리젠 중국 외교부 대변인은 16일 브리핑에서 기자들에게 “캐나다산 수입 목재에서 해충이 발견돼 이를 캐나다 측에 알리고 조사를 요구했다”고 밝혔다. 그는 “중국 항만 당국은 캐나다산 수입 목재에서 해충을 발견해 캐나다 측에 관련 조사와 해결 방안을 요구했다”며 “중국의 삼림과 생태계 안전을 지키는 것은 중국 정부의 임무다”라고 밝혔다.멍완저우 화웨이 부회장./로이터연합뉴스지난해 중국은 해충에 대한 우려를 이유로 캐나다의 주요 대중국 수출 농산물인 캐놀라유 수입을 중단한 바 있다. 나아가 돼지고기, 소고기 등 육류제품 수입을 전면 중단하기도 했다. 2018년 12월 1일 미국의 대이란 제재 위반 혐의로 중국 통신장비 제조업체인 화웨이의 멍완저우 부회장이 캐나다에서 체포된 후 양국의 갈등은 갈수록 커지고 있다. 캐나다가 중국의 반발에도 불구하고 멍 부회장의 신병을 미국으로 인도하는 절차에 착수하자, 중국 정부는 이를 강력하게 비판하면서 캐나다가 멍 부회장을 즉각 석방할 것을 촉구해 왔다./김기혁기자 coldmetal@sedaily.com[서울경제 바로가기]"
9,005930,2020.06.17,18,한국경제,"17일, 외국인 거래소에서 삼성전자(+0.19%), 삼성SDI(+2.2...",https://finance.naver.com/item/news_read.nhn?article_id=0004362568&office_id=015&code=005930&page=4&sm=," 외국인 투자자는 17일 거래소에서 삼성전자, 삼성SDI, KODEX 200 등을 중점적으로 사들인 것으로 나타났다.외국인 투자자의 순매수 상위 20개 종목은 삼성전자, 삼성SDI, KODEX 200, SK이노베이션, KODEX 200선물인버스2X, SK, POSCO, LG생활건강, NAVER, 삼성전기등이다.이중에 전기,전자 업종에 속한 종목이 3개 포함되어 있다.삼성전자, 삼성SDI, SK이노베이션 등은 전일 대비 주가가 상승했고, KODEX 200, POSCO, LG생활건강 등은 주가가 하락했다.[06월17일]거래소 외국인 순매수 상위 종목한경로보뉴스이 기사는 한국경제신문과 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다."
